"207","MDC 04","M","RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS","0","\N"
"208","MDC 04","M","RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS","0","\N"
"212","MDC 05","P","CONCOMITANT AORTIC AND MITRAL VALVE PROCEDURES","0","\N"
"215","MDC 05","P","OTHER HEART ASSIST SYSTEM IMPLANT","0","\N"
"216","MDC 05","P","CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC","0","\N"
"217","MDC 05","P","CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC","0","\N"
"218","MDC 05","P","CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC","0","\N"
"219","MDC 05","P","CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC","0","\N"
"220","MDC 05","P","CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC","0","\N"
"221","MDC 05","P","CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC","0","\N"
"228","MDC 05","P","OTHER CARDIOTHORACIC PROCEDURES WITH MCC","0","\N"
"229","MDC 05","P","OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC","0","\N"
"231","MDC 05","P","CORONARY BYPASS WITH PTCA WITH MCC","0","\N"
"232","MDC 05","P","CORONARY BYPASS WITH PTCA WITHOUT MCC","0","\N"
"233","MDC 05","P","CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC","0","\N"
"234","MDC 05","P","CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC","0","\N"
"235","MDC 05","P","CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC","0","\N"
"236","MDC 05","P","CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC","0","\N"
"239","MDC 05","P","AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC","0","\N"
"240","MDC 05","P","AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC","0","\N"
"241","MDC 05","P","AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC","0","\N"
"242","MDC 05","P","PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC","0","\N"
"243","MDC 05","P","PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC","0","\N"
"244","MDC 05","P","PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC","0","\N"
"245","MDC 05","P","AICD GENERATOR PROCEDURES","0","\N"
"250","MDC 05","P","PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITH MCC","0","\N"
"251","MDC 05","P","PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITHOUT MCC","0","\N"
"252","MDC 05","P","OTHER VASCULAR PROCEDURES WITH MCC","0","\N"
"253","MDC 05","P","OTHER VASCULAR PROCEDURES WITH CC","0","\N"
"254","MDC 05","P","OTHER VASCULAR PROCEDURES WITHOUT CC/MCC","0","\N"
"255","MDC 05","P","UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC","0","\N"
"256","MDC 05","P","UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC","0","\N"
"257","MDC 05","P","UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC","0","\N"
"258","MDC 05","P","CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC","0","\N"
"259","MDC 05","P","CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC","0","\N"
"260","MDC 05","P","CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC","0","\N"
"261","MDC 05","P","CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC","0","\N"
"262","MDC 05","P","CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC","0","\N"
"263","MDC 05","P","VEIN LIGATION AND STRIPPING","0","\N"
"264","MDC 05","P","OTHER CIRCULATORY SYSTEM O.R. PROCEDURES","0","\N"
"265","MDC 05","P","AICD LEAD PROCEDURES","0","\N"
"266","MDC 05","P","ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC","0","\N"
"267","MDC 05","P","ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC","0","\N"
"268","MDC 05","P","AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC","0","\N"
"269","MDC 05","P","AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC","0","\N"
"270","MDC 05","P","OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC","0","\N"
"271","MDC 05","P","OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC","0","\N"
"272","MDC 05","P","OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC","0","\N"
"273","MDC 05","P","PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC","0","\N"
"274","MDC 05","P","PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC","0","\N"
"275","MDC 05","P","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION AND MCC","0","\N"
"276","MDC 05","P","CARDIAC DEFIBRILLATOR IMPLANT WITH MCC","0","\N"
"277","MDC 05","P","CARDIAC DEFIBRILLATOR IMPLANT WITHOUT MCC","0","\N"
"278","MDC 05","P","ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITH MCC","0","\N"
"279","MDC 05","P","ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITHOUT MCC","0","\N"
"280","MDC 05","M","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC","0","\N"
"281","MDC 05","M","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC","0","\N"
"282","MDC 05","M","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC","0","\N"
"283","MDC 05","M","ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC","0","\N"
"284","MDC 05","M","ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC","0","\N"
"285","MDC 05","M","ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC","0","\N"
"286","MDC 05","M","CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC","0","\N"
"287","MDC 05","M","CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC","0","\N"
"288","MDC 05","M","ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC","0","\N"
"289","MDC 05","M","ACUTE AND SUBACUTE ENDOCARDITIS WITH CC","0","\N"
"290","MDC 05","M","ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC","0","\N"
"291","MDC 05","M","HEART FAILURE AND SHOCK WITH MCC","0","\N"
"292","MDC 05","M","HEART FAILURE AND SHOCK WITH CC","0","\N"
"293","MDC 05","M","HEART FAILURE AND SHOCK WITHOUT CC/MCC","0","\N"
"294","MDC 05","M","DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC","0","\N"
"295","MDC 05","M","DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC","0","\N"
"296","MDC 05","M","CARDIAC ARREST, UNEXPLAINED WITH MCC","0","\N"
"297","MDC 05","M","CARDIAC ARREST, UNEXPLAINED WITH CC","0","\N"
"298","MDC 05","M","CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC","0","\N"
"299","MDC 05","M","PERIPHERAL VASCULAR DISORDERS WITH MCC","0","\N"
"300","MDC 05","M","PERIPHERAL VASCULAR DISORDERS WITH CC","0","\N"
"301","MDC 05","M","PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC","0","\N"
"302","MDC 05","M","ATHEROSCLEROSIS WITH MCC","0","\N"
"303","MDC 05","M","ATHEROSCLEROSIS WITHOUT MCC","0","\N"
"304","MDC 05","M","HYPERTENSION WITH MCC","0","\N"
"305","MDC 05","M","HYPERTENSION WITHOUT MCC","0","\N"
"306","MDC 05","M","CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC","0","\N"
"307","MDC 05","M","CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC","0","\N"
"308","MDC 05","M","CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC","0","\N"
"309","MDC 05","M","CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC","0","\N"
"310","MDC 05","M","CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC","0","\N"
"311","MDC 05","M","ANGINA PECTORIS","0","\N"
"312","MDC 05","M","SYNCOPE AND COLLAPSE","0","\N"
"313","MDC 05","M","CHEST PAIN","0","\N"
"314","MDC 05","M","OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC","0","\N"
"315","MDC 05","M","OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC","0","\N"
"316","MDC 05","M","OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC","0","\N"
"319","MDC 05","P","OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC","0","\N"
"320","MDC 05","P","OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC","0","\N"
"321","MDC 05","P","PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITH MCC OR 4+ ARTERIES/INTRALUMINAL DEVICES","0","\N"
"322","MDC 05","P","PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC","0","\N"
"323","MDC 05","P","CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITH MCC","0","\N"
