"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, 
AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2026 Final Rule"									
MS-DRG 	FY 2026 Final Post-Acute DRG	FY 2026 Final Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights - Before Cap	Weights - 10% Cap Applied 	Geometric mean LOS	Arithmetic mean LOS
737	No	No	13	SURG	UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC	2.0606	2.0606	3.7	4.5
738	No	No	13	SURG	UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITHOUT CC/MCC	1.4685	1.4685	2.3	2.6
739	No	No	13	SURG	UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC	3.5263	3.5828	5.1	8.3
740	No	No	13	SURG	UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC	1.8096	1.8096	2.6	3.6
741	No	No	13	SURG	UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC	1.4261	1.4261	1.5	1.8
742	No	No	13	SURG	UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC	1.8348	1.8348	2.7	3.6
743	No	No	13	SURG	UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC	1.2407	1.2407	1.5	1.7
744	No	No	13	SURG	"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC"	2.0491	2.0491	4.6	6.6
745	No	No	13	SURG	"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC"	1.1375	1.1375	2.0	2.6
746	No	No	13	SURG	"VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC"	1.7371	1.7371	3.1	5.1
747	No	No	13	SURG	"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC"	0.8395	0.8597	1.3	1.6
748	No	No	13	SURG	FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES	1.3873	1.3873	1.4	1.8
749	No	No	13	SURG	OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC	2.5676	2.5676	5.1	7.1
750	No	No	13	SURG	OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC	1.4758	1.4758	1.9	2.6
754	No	No	13	MED	"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC"	1.8417	1.8417	5.1	7.1
755	No	No	13	MED	"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH CC"	1.0878	1.0878	3.2	4.3
756	No	No	13	MED	"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC"	0.9605	0.9605	2.0	2.3
757	No	No	13	MED	"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH MCC"	1.4319	1.4319	4.6	6.0
758	No	No	13	MED	"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH CC"	0.9790	0.9790	3.6	4.4
759	No	No	13	MED	"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC"	0.6636	0.6636	2.4	2.9
760	No	No	13	MED	MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH CC/MCC	1.0075	1.0075	2.8	3.8
761	No	No	13	MED	MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITHOUT CC/MCC	0.5696	0.5705	1.7	2.1
768	No	No	14	SURG	VAGINAL DELIVERY WITH O.R. PROCEDURES EXCEPT STERILIZATION AND/OR D&C	1.0716	1.0716	2.7	3.4
769	No	No	14	SURG	POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURES	1.6898	1.6898	3.0	4.7
770	No	No	14	SURG	"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"	1.0027	1.0027	1.9	2.3
776	No	No	14	MED	POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURES	0.6547	0.6547	2.4	3.1
779	No	No	14	MED	ABORTION WITHOUT D&C	0.7131	0.8413	1.5	2.0
783	No	No	14	SURG	CESAREAN SECTION WITH STERILIZATION WITH MCC	2.4551	2.4551	4.9	8.6
784	No	No	14	SURG	CESAREAN SECTION WITH STERILIZATION WITH CC	1.0601	1.0601	3.1	3.6
785	No	No	14	SURG	CESAREAN SECTION WITH STERILIZATION WITHOUT CC/MCC	0.9578	0.9578	2.6	3.0
786	No	No	14	SURG	CESAREAN SECTION WITHOUT STERILIZATION WITH MCC	1.6495	1.6495	4.4	6.2
787	No	No	14	SURG	CESAREAN SECTION WITHOUT STERILIZATION WITH CC	1.1168	1.1168	3.4	4.2
788	No	No	14	SURG	CESAREAN SECTION WITHOUT STERILIZATION WITHOUT CC/MCC	0.9588	0.9588	2.9	3.2
789	No	No	15	MED	"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY"	1.8022	1.8022	1.8	1.8
790	No	No	15	MED	"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE"	5.9435	5.9435	17.9	17.9
791	No	No	15	MED	PREMATURITY WITH MAJOR PROBLEMS	4.0590	4.0590	13.3	13.3
792	No	No	15	MED	PREMATURITY WITHOUT MAJOR PROBLEMS	2.4492	2.4492	8.6	8.6
793	No	No	15	MED	FULL TERM NEONATE WITH MAJOR PROBLEMS	4.1696	4.1696	4.7	4.7
794	No	No	15	MED	NEONATE WITH OTHER SIGNIFICANT PROBLEMS	1.4759	1.4759	3.4	3.4
795	No	No	15	MED	NORMAL NEWBORN	0.1998	0.1998	3.1	3.1
796	No	No	14	SURG	VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH MCC	1.1670	1.1670	3.5	4.4
797	No	No	14	SURG	VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH CC	1.0004	1.0004	2.5	3.1
798	No	No	14	SURG	VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITHOUT CC/MCC	0.9571	0.9571	2.3	2.5
799	No	No	16	SURG	SPLENIC PROCEDURES WITH MCC	4.5289	4.5289	6.8	9.1
800	No	No	16	SURG	SPLENIC PROCEDURES WITH CC	2.8094	2.8094	3.9	5.2
801	No	No	16	SURG	SPLENIC PROCEDURES WITHOUT CC/MCC	1.9089	1.9089	2.4	3.3
802	No	No	16	SURG	OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH MCC	3.9841	3.9841	7.8	11.6
803	No	No	16	SURG	OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH CC	1.8589	1.8589	3.7	5.2
804	No	No	16	SURG	OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITHOUT CC/MCC	1.3560	1.3560	1.7	2.2
805	No	No	14	MED	VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH MCC	1.0792	1.0792	3.0	4.5
806	No	No	14	MED	VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH CC	0.7540	0.7540	2.4	2.7
807	No	No	14	MED	VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC	0.6742	0.6742	2.0	2.2
808	No	No	16	MED	MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH MCC	2.2079	2.2079	5.2	7.1
809	No	No	16	MED	MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH CC	1.2659	1.2659	3.3	4.3
810	No	No	16	MED	MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITHOUT CC/MCC	1.0466	1.0466	2.6	3.3
811	No	No	16	MED	RED BLOOD CELL DISORDERS WITH MCC	1.4043	1.4043	3.7	4.9
812	No	No	16	MED	RED BLOOD CELL DISORDERS WITHOUT MCC	0.9182	0.9182	2.7	3.6
813	No	No	16	MED	COAGULATION DISORDERS	1.5253	1.5253	3.6	4.7
814	No	No	16	MED	RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC	2.1267	2.1267	4.7	6.9
815	No	No	16	MED	RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC	1.0140	1.0140	2.9	3.8
816	No	No	16	MED	RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITHOUT CC/MCC	0.6320	0.6320	2.0	2.3
817	No	No	14	SURG	OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH MCC	1.6880	2.2816	3.6	5.5
818	No	No	14	SURG	OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH CC	1.0542	1.1592	2.7	3.4
819	No	No	14	SURG	OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITHOUT CC/MCC	0.8599	0.8599	1.6	1.7
820	No	No	17	SURG	LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH MCC	5.8648	5.8648	10.7	15.4
821	No	No	17	SURG	LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH CC	2.2386	2.2386	3.3	5.2
822	No	No	17	SURG	LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITHOUT CC/MCC	1.2040	1.2040	1.5	1.8
823	No	No	17	SURG	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC	4.5848	4.5848	10.1	13.6
824	No	No	17	SURG	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC	2.2656	2.2656	4.9	6.7
825	No	No	17	SURG	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITHOUT CC/MCC	1.3494	1.3494	2.2	3.0
826	No	No	17	SURG	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURES WITH MCC	4.6778	4.6778	8.4	11.2
827	No	No	17	SURG	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURES WITH CC	2.3112	2.3112	4.0	5.2
828	No	No	17	SURG	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURES WITHOUT CC/MCC	1.7038	1.7038	2.4	2.9
829	No	No	17	SURG	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURES WITH CC/MCC	3.1600	3.1600	5.9	9.0
830	No	No	17	SURG	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURES WITHOUT CC/MCC	1.5050	1.5050	2.1	2.6
831	No	No	14	MED	OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITH MCC	1.2025	1.2025	3.3	5.0
832	No	No	14	MED	OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITH CC	0.7216	0.7216	2.6	3.7
833	No	No	14	MED	OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITHOUT CC/MCC	0.5229	0.5229	1.7	2.2
834	No	No	17	MED	ACUTE LEUKEMIA WITH MCC	5.4899	5.4899	9.6	15.4
835	No	No	17	MED	ACUTE LEUKEMIA WITH CC	2.0858	2.0858	4.4	6.8
836	No	No	17	MED	ACUTE LEUKEMIA WITHOUT CC/MCC	1.2195	1.2195	2.9	4.0
837	No	No	17	MED	CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS OR WITH HIGH DOSE CHEMOTHERAPY AGENT WITH MCC	4.8043	4.8043	10.2	14.9
838	No	No	17	MED	CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC OR HIGH DOSE CHEMOTHERAPY AGENT	2.0874	2.0874	5.1	6.7
839	No	No	17	MED	CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT CC/MCC	1.4439	1.4439	4.0	4.5
840	Yes	No	17	MED	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC	3.2349	3.2349	6.8	9.7
841	Yes	No	17	MED	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC	1.6314	1.6314	4.0	5.4
842	Yes	No	17	MED	LYMPHOMA AND NON-ACUTE LEUKEMIA WITHOUT CC/MCC	1.0104	1.0104	2.6	3.3
843	No	No	17	MED	OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MCC	1.9948	1.9948	5.4	7.5
844	No	No	17	MED	OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH CC	1.2174	1.2174	3.7	5.0
845	No	No	17	MED	OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITHOUT CC/MCC	0.8516	0.8516	2.4	3.2
846	No	No	17	MED	CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH MCC	2.5925	2.5925	5.8	7.7
847	No	No	17	MED	CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC	1.3082	1.3082	3.8	4.3
848	No	No	17	MED	CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT CC/MCC	0.8494	0.8494	2.6	3.3
849	No	No	17	MED	RADIOTHERAPY	2.7095	2.7095	7.1	9.8
850	No	No	17	SURG	ACUTE LEUKEMIA WITH OTHER PROCEDURES	8.6595	8.6595	15.3	23.0
853	Yes	No	18	SURG	INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC	4.9386	4.9386	9.3	12.4
854	Yes	No	18	SURG	INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC	1.9981	1.9981	4.9	6.2
855	Yes	No	18	SURG	INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITHOUT CC/MCC	1.4972	1.4972	2.9	3.7
856	Yes	No	18	SURG	POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH MCC	4.5487	4.5487	9.1	12.1
857	Yes	No	18	SURG	POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH CC	2.1415	2.1415	5.4	6.7
858	Yes	No	18	SURG	POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITHOUT CC/MCC	1.3929	1.3929	3.4	4.2
862	Yes	No	18	MED	POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC	1.8237	1.8237	5.0	6.6
863	Yes	No	18	MED	POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC	0.9979	0.9979	3.3	4.1
864	No	No	18	MED	FEVER AND INFLAMMATORY CONDITIONS	0.8877	0.8877	2.6	3.2
865	No	No	18	MED	VIRAL ILLNESS WITH MCC	1.4983	1.4983	4.0	5.7
866	No	No	18	MED	VIRAL ILLNESS WITHOUT MCC	0.8696	0.8696	2.7	3.5
867	Yes	No	18	MED	OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH MCC	2.0932	2.0932	5.4	7.3
868	Yes	No	18	MED	OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH CC	1.0311	1.0311	3.4	4.3
869	Yes	No	18	MED	OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITHOUT CC/MCC	0.7297	0.7297	2.4	3.0
870	Yes	No	18	MED	SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS	6.9118	6.9118	12.7	15.2
871	Yes	No	18	MED	SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC	1.9425	1.9425	4.8	6.4
872	Yes	No	18	MED	SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC	1.0233	1.0233	3.4	4.2
876	No	No	19	SURG	O.R. PROCEDURES WITH PRINCIPAL DIAGNOSIS OF MENTAL ILLNESS	3.8649	3.8649	7.3	19.3
880	No	No	19	MED	ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION	0.9602	0.9602	2.8	4.2
881	No	No	19	MED	DEPRESSIVE NEUROSES	0.9409	0.9409	4.1	6.2
882	No	No	19	MED	NEUROSES EXCEPT DEPRESSIVE	1.0738	1.0738	3.4	5.9
883	No	No	19	MED	DISORDERS OF PERSONALITY AND IMPULSE CONTROL	1.9663	1.9663	5.8	11.3
884	Yes	No	19	MED	ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY	1.6089	1.6089	4.6	7.8
885	No	No	19	MED	PSYCHOSES	1.3968	1.3968	6.5	9.8
886	No	No	19	MED	BEHAVIORAL AND DEVELOPMENTAL DISORDERS	2.0753	2.0753	5.9	14.9
887	No	No	19	MED	OTHER MENTAL DISORDER DIAGNOSES	1.0709	1.0709	3.1	4.9
894	No	No	20	MED	"ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA"	0.6169	0.6169	2.0	2.9
895	No	No	20	MED	"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY"	1.4156	1.4156	7.2	10.3
896	Yes	No	20	MED	"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC"	1.7451	1.7451	4.8	7.0
897	Yes	No	20	MED	"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC"	0.8828	0.8828	3.3	4.3
901	No	No	21	SURG	WOUND DEBRIDEMENTS FOR INJURIES WITH MCC	4.1966	4.1966	8.4	12.5
902	No	No	21	SURG	WOUND DEBRIDEMENTS FOR INJURIES WITH CC	1.9145	1.9145	4.7	6.5
903	No	No	21	SURG	WOUND DEBRIDEMENTS FOR INJURIES WITHOUT CC/MCC	1.1696	1.1696	2.6	3.3
904	No	No	21	SURG	SKIN GRAFTS FOR INJURIES WITH CC/MCC	3.6731	3.6731	6.6	10.2
905	No	No	21	SURG	SKIN GRAFTS FOR INJURIES WITHOUT CC/MCC	1.4318	1.4834	3.0	4.0
906	No	No	21	SURG	HAND PROCEDURES FOR INJURIES	1.7624	1.9643	2.8	4.4
907	Yes	No	21	SURG	OTHER O.R. PROCEDURES FOR INJURIES WITH MCC	3.8393	3.8393	6.8	9.4
908	Yes	No	21	SURG	OTHER O.R. PROCEDURES FOR INJURIES WITH CC	1.9952	1.9952	3.6	4.8
909	Yes	No	21	SURG	OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC	1.3127	1.3127	2.2	2.7
913	No	No	21	MED	TRAUMATIC INJURY WITH MCC	1.6346	1.6346	3.9	5.5
914	No	No	21	MED	TRAUMATIC INJURY WITHOUT MCC	0.8855	0.8855	2.5	3.1
915	No	No	21	MED	ALLERGIC REACTIONS WITH MCC	1.6816	1.6816	3.5	4.8
916	No	No	21	MED	ALLERGIC REACTIONS WITHOUT MCC	0.6663	0.6663	1.8	2.2
917	Yes	No	21	MED	POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC	1.5684	1.5684	3.7	5.4
918	Yes	No	21	MED	POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC	0.8571	0.8571	2.4	3.4
919	No	No	21	MED	COMPLICATIONS OF TREATMENT WITH MCC	1.8308	1.8308	4.3	6.0
920	No	No	21	MED	COMPLICATIONS OF TREATMENT WITH CC	1.0023	1.0023	2.8	3.7
921	No	No	21	MED	COMPLICATIONS OF TREATMENT WITHOUT CC/MCC	0.6884	0.6884	2.1	2.5
922	No	No	21	MED	"OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITH MCC"	1.7494	1.7494	4.2	7.4
923	No	No	21	MED	"OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MCC"	1.0177	1.0177	2.8	4.4
927	No	No	22	SURG	EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITH SKIN GRAFT	18.4302	21.3505	24.0	32.1
928	No	No	22	SURG	FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC/MCC	7.1727	7.1727	12.4	17.4
929	No	No	22	SURG	FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITHOUT CC/MCC	3.2208	3.2208	6.1	8.0
933	No	No	22	MED	EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITHOUT SKIN GRAFT	3.8167	3.8942	3.0	6.7
934	No	No	22	MED	FULL THICKNESS BURN WITHOUT SKIN GRAFT OR INHALATION INJURY	2.2106	2.2106	4.9	7.4
935	No	No	22	MED	NON-EXTENSIVE BURNS	2.0600	2.0600	3.9	5.9
939	No	No	23	SURG	O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH MCC	3.6285	3.6285	6.3	10.5
940	No	No	23	SURG	O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH CC	2.3369	2.3369	3.1	4.5
941	No	No	23	SURG	O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT CC/MCC	2.0277	2.0277	1.9	2.4
945	Yes	No	23	MED	REHABILITATION WITH CC/MCC	1.5486	1.5486	5.6	7.6
946	Yes	No	23	MED	REHABILITATION WITHOUT CC/MCC	1.1468	1.1468	4.4	5.9
947	Yes	No	23	MED	SIGNS AND SYMPTOMS WITH MCC	1.2694	1.2694	3.7	5.2
948	Yes	No	23	MED	SIGNS AND SYMPTOMS WITHOUT MCC	0.8005	0.8005	2.6	3.4
949	No	No	23	MED	AFTERCARE WITH CC/MCC	1.1897	1.1897	4.3	6.7
950	No	No	23	MED	AFTERCARE WITHOUT CC/MCC	0.6277	0.6277	3.2	4.3
951	No	No	23	MED	OTHER FACTORS INFLUENCING HEALTH STATUS	0.5560	0.5560	1.8	2.6
955	No	No	24	SURG	CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA	6.7311	6.7311	8.7	12.8
956	Yes	No	24	SURG	"LIMB REATTACHMENT, HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA"	3.7630	3.7630	5.9	7.3
957	No	No	24	SURG	OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MCC	7.6199	7.6199	10.1	13.9
958	No	No	24	SURG	OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH CC	4.2139	4.2139	6.5	8.1
959	No	No	24	SURG	OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC	2.9441	2.9441	3.8	4.6
963	No	No	24	MED	OTHER MULTIPLE SIGNIFICANT TRAUMA WITH MCC	2.7338	2.7338	5.5	8.0
964	No	No	24	MED	OTHER MULTIPLE SIGNIFICANT TRAUMA WITH CC	1.5326	1.5326	3.9	4.9
965	No	No	24	MED	OTHER MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC	0.9405	0.9405	2.5	3.0
969	No	No	25	SURG	HIV WITH EXTENSIVE O.R. PROCEDURES WITH MCC	6.1213	6.1213	11.7	15.9
970	No	No	25	SURG	HIV WITH EXTENSIVE O.R. PROCEDURES WITHOUT MCC	2.6374	2.6374	7.5	9.4
974	No	No	25	MED	HIV WITH MAJOR RELATED CONDITION WITH MCC	2.8860	2.8860	6.6	9.4
975	No	No	25	MED	HIV WITH MAJOR RELATED CONDITION WITH CC	1.2950	1.2950	3.9	5.1
976	No	No	25	MED	HIV WITH MAJOR RELATED CONDITION WITHOUT CC/MCC	0.8945	0.9027	3.0	3.8
977	No	No	25	MED	HIV WITH OR WITHOUT OTHER RELATED CONDITION	1.2676	1.2977	3.6	5.1
981	Yes	No	 	SURG	EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC	4.6918	4.6918	8.4	11.8
982	Yes	No	 	SURG	EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC	2.4585	2.4585	4.0	5.6
983	Yes	No	 	SURG	EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC	1.7140	1.7140	2.0	2.6
987	Yes	Yes	 	SURG	NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC	3.4284	3.4284	7.8	11.1
988	Yes	Yes	 	SURG	NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC	1.6436	1.6436	4.0	5.5
989	Yes	Yes	 	SURG	NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC	1.1992	1.1992	2.3	3.0
998	No	No	 	**	PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS	.	.	.	
999	No	No	 	**	UNGROUPABLE	.	.	.	
									
