"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, 
AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2026 Final Rule"									
MS-DRG 	FY 2026 Final Post-Acute DRG	FY 2026 Final Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights - Before Cap	Weights - 10% Cap Applied 	Geometric mean LOS	Arithmetic mean LOS
188	Yes	No	04	MED	PLEURAL EFFUSION WITHOUT CC/MCC	0.7172	0.7172	2.1	2.6
189	No	No	04	MED	PULMONARY EDEMA AND RESPIRATORY FAILURE	1.2354	1.2354	3.5	4.7
190	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC	1.1077	1.1077	3.3	4.2
191	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC	0.8430	0.8430	2.6	3.3
192	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC	0.6420	0.6420	2.1	2.5
193	Yes	No	04	MED	SIMPLE PNEUMONIA AND PLEURISY WITH MCC	1.3144	1.3144	3.9	4.9
194	Yes	No	04	MED	SIMPLE PNEUMONIA AND PLEURISY WITH CC	0.8059	0.8059	2.8	3.4
195	Yes	No	04	MED	SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC	0.6285	0.6285	2.2	2.7
196	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE WITH MCC	1.8872	1.8872	4.8	6.5
197	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE WITH CC	0.9491	0.9491	2.9	3.6
198	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC	0.7162	0.7162	2.2	2.7
199	No	No	04	MED	PNEUMOTHORAX WITH MCC	1.7641	1.7641	4.8	6.3
200	No	No	04	MED	PNEUMOTHORAX WITH CC	1.0993	1.0993	3.1	3.9
201	No	No	04	MED	PNEUMOTHORAX WITHOUT CC/MCC	0.7151	0.7151	2.3	2.8
202	No	No	04	MED	BRONCHITIS AND ASTHMA WITH CC/MCC	0.9712	0.9712	2.9	3.6
203	No	No	04	MED	BRONCHITIS AND ASTHMA WITHOUT CC/MCC	0.6700	0.6700	2.2	2.6
204	No	No	04	MED	RESPIRATORY SIGNS AND SYMPTOMS	0.8074	0.8074	2.1	2.7
205	Yes	No	04	MED	OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC	1.8310	1.8310	4.4	6.0
206	Yes	No	04	MED	OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC	0.9411	0.9411	2.4	3.1
207	Yes	No	04	MED	RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS	6.4347	6.4347	12.5	15.1
208	No	No	04	MED	RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS	2.7487	2.7487	4.9	7.1
209	No	No	05	SURG	COMPLEX AORTIC ARCH PROCEDURES	11.3188	11.3188	6.7	10.6
212	No	No	05	SURG	CONCOMITANT AORTIC AND MITRAL VALVE PROCEDURES	10.8741	10.8741	12.5	15.5
213	No	No	05	SURG	ENDOVASCULAR ABDOMINAL AORTA WITH ILIAC BRANCH PROCEDURES	5.7069	5.7069	1.7	2.9
215	No	No	05	SURG	OTHER HEART ASSIST SYSTEM IMPLANT	9.9570	9.9570	4.7	8.1
216	Yes	Yes	05	SURG	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC	9.7828	9.7828	10.6	13.6
217	Yes	Yes	05	SURG	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC	6.5753	6.5753	4.3	6.2
218	Yes	Yes	05	SURG	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC	6.5753	6.5753	4.3	6.2
219	Yes	Yes	05	SURG	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC	7.6783	7.6783	8.2	10.0
220	Yes	Yes	05	SURG	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC	5.3328	5.3328	5.4	6.1
221	Yes	Yes	05	SURG	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC	5.0402	5.0402	2.9	3.6
228	No	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES WITH MCC	4.9474	4.9474	6.1	8.5
229	No	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC	3.1495	3.1495	2.4	3.2
231	No	No	05	SURG	CORONARY BYPASS WITH PTCA WITH MCC	8.4299	8.4299	10.4	12.0
232	No	No	05	SURG	CORONARY BYPASS WITH PTCA WITHOUT MCC	6.0626	6.0626	7.5	8.6
233	Yes	No	05	SURG	CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC	7.6452	7.6452	11.0	12.3
234	Yes	No	05	SURG	CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC	5.4627	5.4627	8.2	8.8
235	Yes	No	05	SURG	CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC	5.8686	5.8686	8.0	9.1
236	Yes	No	05	SURG	CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC	4.1888	4.1888	5.8	6.2
239	Yes	No	05	SURG	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC	4.9217	4.9217	11.1	13.8
240	Yes	No	05	SURG	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC	2.8505	2.8505	7.3	8.8
241	Yes	No	05	SURG	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC	1.3844	1.3844	4.0	4.8
242	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC	3.1928	3.1928	4.8	6.2
243	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC	2.1309	2.1309	2.8	3.5
244	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC	1.8075	1.8075	2.1	2.5
245	No	No	05	SURG	AICD GENERATOR PROCEDURES	4.5624	4.5624	4.1	6.2
250	No	No	05	SURG	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITH MCC	2.1825	2.1825	3.1	4.3
251	No	No	05	SURG	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITHOUT MCC	1.4945	1.4945	2.0	2.4
252	No	No	05	SURG	OTHER VASCULAR PROCEDURES WITH MCC	3.4883	3.4883	5.3	7.8
253	No	No	05	SURG	OTHER VASCULAR PROCEDURES WITH CC	2.5956	2.5956	3.7	5.1
254	No	No	05	SURG	OTHER VASCULAR PROCEDURES WITHOUT CC/MCC	1.7817	1.7817	1.8	2.2
